  2.5.3,  5.3.2,  2.7.6
  5.2.3,  2.3.5,  6.7.2
  3.2.5,  5.2.3,  2.7.6
  2.3.5,  3.5.2,  6.2.7
  3.5.2,  5.3.2,  2.6.7
  5.3.2,  3.2.5,  6.2.7
  3.5.2,  5.2.3,  2.7.6
  5.2.3,  3.5.2,  6.2.7
  2.5.3,  5.2.3,  2.7.6
  3.2.5,  3.5.2,  6.7.2
  5.3.2,  2.5.3,  2.7.6
  3.2.5,  5.3.2,  2.7.6
  2.3.5,  3.2.5,  6.7.2
  2.3.5,  2.5.3,  7.6.2
  5.2.3,  2.3.5,  6.7.2
  1.5.3,  5.3.1,  1.7.6
  5.1.3,  1.3.5,  6.7.1
  3.1.5,  5.1.3,  1.7.6
  1.3.5,  3.5.1,  6.1.7
  3.5.1,  5.3.1,  1.6.7
  5.3.1,  3.1.5,  1.7.6
  5.1.3,  1.5.3,  6.1.7
  3.1.5,  3.5.1,  6.7.1
  5.3.1,  1.5.3,  1.7.6
  3.1.5,  5.3.1,  1.7.6
